model,epoch,train_loss,val_loss,ppl
lm_po,1,6.885262572119388,6.471339461382698,646.3489067986237
lm_po,2,6.452014213712345,6.427912796244902,618.880868549196
lm_po,3,6.3681367588747895,6.289333792293773,538.7942606023443
lm_po,4,6.21011404450891,6.134845245585722,461.66764338465447
lm_po,5,6.083692500156722,6.042897252475514,421.1113350307975
lm_po,6,6.009903261226974,5.987224006652832,398.3073751763835
lm_po,7,5.96114771530546,5.94616928100586,382.28609994072775
lm_po,8,5.9227378280292005,5.910867971532485,369.0263207832191
lm_po,9,5.890522709620997,5.881031333698946,358.17845279481276
lm_po,10,5.861991773097973,5.8574950835284065,349.8467087444063
lm_po,11,5.83540131893064,5.832546054615694,341.226354963978
lm_po,12,5.810089174749816,5.811073864207549,333.9775797436338
lm_po,13,5.7872242639804705,5.787644240435432,326.24356700019376
lm_po,14,5.765843135382742,5.769324740241555,320.3213594777054
lm_po,15,5.747189199983193,5.751475300508387,314.65452801455785
lm_po,16,5.72982224924811,5.736811183480656,310.0740635064691
lm_po,17,5.714434553836954,5.719940258474911,304.8867080159036
lm_po,18,5.701359879207141,5.709024631275851,301.5767762290252
lm_po,19,5.6886137436176165,5.698290123659022,298.35681131603906
lm_po,20,5.677398972323376,5.697630517623004,298.16007825269895
lm_pf,1,6.895140973217969,6.474250984191895,648.2335085826992
lm_pf,2,6.446743710287686,6.402469388176413,603.3330633927999
lm_pf,3,6.350025262151446,6.2984773074879365,543.7433255559562
lm_pf,4,6.227643279019247,6.149203294866226,468.34410595119994
lm_pf,5,6.104165808320633,6.060332892922794,428.5180637489402
lm_pf,6,6.033824198351705,6.003962892644545,405.0307105071982
lm_pf,7,5.984495915215591,5.96290361180025,388.73722911404474
lm_pf,8,5.947759394575223,5.9317115615395934,376.79887669960124
lm_pf,9,5.919912432802135,5.910444169885972,368.8699599561927
lm_pf,10,5.898054841116731,5.890897436702953,361.7297683192465
lm_pf,11,5.880069071436163,5.875557013118969,356.2230263184544
lm_pf,12,5.863556789647182,5.861736796883976,351.33380990002996
lm_pf,13,5.847878756781517,5.845991920022404,345.84542269717434
lm_pf,14,5.833092637837226,5.834521344128777,341.9010419362035
lm_pf,15,5.8184488107418195,5.82000182095696,336.97266724223624
lm_pf,16,5.8042671844877045,5.807635077308206,332.8310744412539
lm_pf,17,5.790799384046658,5.792817390666288,327.9356469023588
lm_pf,18,5.777989175519332,5.7811723540810975,324.138973401989
lm_pf,19,5.765992935067914,5.772001474043902,321.17992304867204
lm_pf,20,5.754887675416881,5.760003673329073,317.34949464483435
lm_pok,1,6.860247060583143,6.470004356608671,645.4865390911892
lm_pok,2,6.450414450297802,6.428953232484705,619.52510972077
lm_pok,3,6.394290128952177,6.3560381440555345,575.9599598069004
lm_pok,4,6.312503580389352,6.26032953823314,523.3913891657878
lm_pok,5,6.190743616649082,6.130706489787382,459.7608623210998
lm_pok,6,6.08607179719239,6.05556100396549,426.47809425747386
lm_pok,7,6.025639340208082,6.0087165047140685,406.96065284557613
lm_pok,8,5.984884523993055,5.9739885947283575,393.07034655885116
lm_pok,9,5.952671611837566,5.944955135794247,381.82223076227393
lm_pok,10,5.923004944923476,5.916113786136402,370.9672508747567
lm_pok,11,5.893639632633755,5.887802017436308,360.61179421702684
lm_pok,12,5.8638997107303785,5.8616838455200195,351.3152067881261
lm_pok,13,5.836992483420913,5.836366210264318,342.53238578355325
lm_pok,14,5.8126465822088305,5.813709668552174,334.8590404680066
lm_pok,15,5.79204458203809,5.797783335517434,329.5682074875235
lm_pok,16,5.773087165038574,5.780409975612865,323.89195100219627
lm_pok,17,5.756514201023308,5.767423893423642,319.7130559698872
lm_pok,18,5.740592179040016,5.7514925395741185,314.65995241140456
lm_pok,19,5.726204063504787,5.741088844748104,311.4032962948775
lm_pok,20,5.713455506733486,5.723989593281465,306.1237993829004
lm_pfk,1,6.875895149014854,6.473148598390467,647.5192989064601
lm_pfk,2,6.450027781754292,6.417873085246367,612.6985696625616
lm_pfk,3,6.34618613050489,6.278858184814453,533.1795236522626
lm_pfk,4,6.246037688161352,6.219363134047565,502.38317937372057
lm_pfk,5,6.192721652867172,6.165024252498851,475.81268244197315
lm_pfk,6,6.136222848164037,6.108864447649787,449.82762222253814
lm_pfk,7,6.084391784785416,6.06421443714815,430.18460785467147
lm_pfk,8,6.04542776692677,6.035306908102596,417.92705515705046
lm_pfk,9,6.019020583242031,6.015031696768368,409.53881976801364
lm_pfk,10,5.999803154926582,5.997246753468233,402.31958223294896
lm_pfk,11,5.983854731315462,5.984115594976089,397.0711941555666
lm_pfk,12,5.969255415089612,5.971034190234016,391.9107715306689
lm_pfk,13,5.9553981696443605,5.9582200891831345,386.9208264112341
lm_pfk,14,5.94178167469983,5.945239055857939,381.9306531452674
lm_pfk,15,5.927502053124564,5.9304218572728775,376.313230817727
lm_pfk,16,5.914035013156571,5.9194623722749595,372.2115488256343
lm_pfk,17,5.901974441969923,5.9088176615097945,368.2704775403514
lm_pfk,18,5.89128867100025,5.899072288064396,364.6989752855275
lm_pfk,19,5.881653579585071,5.89147466210758,361.9386282049471
lm_pfk,20,5.87324559982187,5.883854905296775,359.19122444484674
lm_base,1,6.863681147251223,6.435167688481948,623.3871089373931
lm_base,2,6.319534095050079,6.193729787714341,489.66906614134376
lm_base,3,6.05481368273937,5.9316220844493195,376.76516334080475
lm_base,4,5.82706842633891,5.742970820034252,311.98990141756326
lm_base,5,5.671786039333625,5.6195218366735125,275.7574945842231
lm_base,6,5.565175513328589,5.532992654688218,252.89962090629453
lm_base,7,5.489140665589883,5.470508160310633,237.58089127098205
lm_base,8,5.433499919957128,5.4254709299872905,227.11827794239167
lm_base,9,5.391544084243587,5.390473853840548,219.30728053363387
lm_base,10,5.358969469375798,5.363749358233283,213.52402555976246
lm_base,11,5.3326800409796205,5.341859301398782,208.90075890087357
lm_base,12,5.311317360459878,5.325257839876063,205.46132975949234
lm_base,13,5.293141144249827,5.311211361604578,202.59549620951336
lm_base,14,5.277768493285907,5.300093016904943,200.35544555150003
lm_base,15,5.264268997267549,5.289281923630658,198.20105080661705
lm_base,16,5.252599856536377,5.279979604833266,196.36587039629003
lm_base,17,5.242048178400312,5.271586805231431,194.72470760610918
lm_base,18,5.232649255268679,5.263394165039062,193.1359152288217
lm_base,19,5.224168879057974,5.2560293478124285,191.71872957565495
lm_base,20,5.216459497442386,5.253336631550509,191.2031798608713
